timestamp,open,low,high,close,volume
2022-08-18,11600,11425,11625,11450,38000
2022-08-19,11600,11200,11600,11500,45600
2022-08-22,11425,11325,11500,11475,55100
2022-08-23,11350,10925,11575,11500,268300
2022-08-24,11700,11400,11800,11550,156900
2022-08-25,11475,11375,11800,11525,119100
2022-08-26,11450,11100,11575,11250,248900
2022-08-29,11150,10575,11250,11250,411500
2022-08-30,11150,11100,11450,11450,348800
2022-08-31,11450,11400,11700,11450,655100
2022-09-01,11700,11450,11725,11500,239800
2022-09-02,11500,11350,11700,11700,187000
2022-09-05,11800,11575,11850,11825,599900
2022-09-06,11900,11900,12275,12125,46500
2022-09-07,12175,12025,12175,12150,89800
2022-09-08,12150,11950,12250,12000,156100
2022-09-09,11975,11350,11975,11575,331800
2022-09-12,11700,11700,11900,11900,208000
2022-09-13,11900,11700,12150,11950,164500
2022-09-14,11950,11775,12000,12000,18700
2022-09-15,12000,11875,12025,12000,56900
2022-09-16,12000,11800,12350,12000,270000
2022-09-19,12000,11900,12050,12000,62900
2022-09-20,12000,11800,12000,11875,55100
2022-09-21,11850,11750,11950,11950,56700
2022-09-22,11950,11500,12400,12000,195100
2022-09-23,12000,11775,12000,11850,44700
2022-09-26,11850,11625,11875,11800,17000
2022-09-27,11700,11525,11700,11625,33200
2022-09-28,11625,11425,11625,11500,25600
2022-09-29,11500,11425,11600,11600,41400
2022-09-30,11500,11100,11500,11400,122500
2022-10-03,11425,11300,11475,11450,18800
2022-10-04,11475,11350,11475,11425,26900
2022-10-05,11475,11350,11475,11425,4300
2022-10-06,11325,11325,11800,11650,25400
2022-10-07,11625,11550,11975,11875,48400
2022-10-10,11875,11525,11875,11700,21900
2022-10-11,11700,11400,11700,11500,10000
2022-10-12,11400,11150,11500,11300,44400
2022-10-13,11300,11300,11500,11400,25900
2022-10-14,11400,11200,11500,11300,8600
2022-10-17,11300,10925,11350,11000,41900
2022-10-18,11000,10450,11000,10675,218000
2022-10-19,10675,10275,10725,10700,114600
2022-10-20,10700,10550,10800,10700,32000
2022-10-21,10675,10575,10800,10600,27600
2022-10-24,10600,10100,10600,10550,256000
2022-10-25,10550,10000,10600,10250,217100
2022-10-26,10250,10000,10500,10250,143900
2022-10-27,10250,10075,10925,10900,241500
2022-10-28,10900,10700,10900,10900,29200
2022-10-31,11000,10800,11000,10900,76800
2022-11-01,10950,10775,11025,10775,215400
2022-11-02,11000,10500,11000,10550,77500
2022-11-03,10600,10325,10750,10750,98600
2022-11-04,10850,10400,11525,10650,2203300
2022-11-07,10650,10550,10750,10750,0
2022-11-08,10650,10550,10750,10750,0
2022-11-09,10650,10550,10750,10750,0
2022-11-10,10650,10550,10750,10750,16700
2022-11-11,10650,10650,10825,10750,18300
2022-11-14,10750,10100,10750,10100,173100
2022-11-15,10100,9500,10100,9500,144100
2022-11-16,9500,8850,9500,8850,94200
2022-11-17,8850,8625,8850,8650,165100
2022-11-18,8675,8625,8900,8650,93700
2022-11-21,8650,8125,8900,8200,220800
2022-11-22,8100,7725,8400,7800,1797600
2022-11-23,7800,7500,8000,7800,602500
2022-11-24,7800,7725,8150,7825,133800
2022-11-25,7825,7300,7825,7500,3302700
2022-11-28,7500,7325,7825,7800,231500
2022-11-29,7800,7800,8400,8250,447100
2022-11-30,8275,8200,9250,8250,5743600
2022-12-01,8275,8200,9250,8250,0
2022-12-02,8800,8800,9175,9000,889600
2022-12-05,9200,8900,9300,9000,178600
2022-12-06,9000,8825,9100,9100,539700
2022-12-07,9100,8900,9200,9200,407000
2022-12-08,9225,8900,9225,9225,771400
2022-12-09,9225,8725,9225,8900,375700
